C02173V02619,Area of Residence,TLIST(Q1),Quarter,STATISTIC,Statistic Label,UNIT,VALUE
FR,France,20164,2016Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,38
FR,France,20171,2017Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,107
FR,France,20171,2017Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.6
FR,France,20171,2017Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,51
FR,France,20172,2017Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,169
FR,France,20172,2017Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.1
FR,France,20172,2017Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,82
FR,France,20173,2017Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,164
FR,France,20173,2017Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.5
FR,France,20173,2017Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,99
FR,France,20174,2017Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,109
FR,France,20174,2017Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.3
FR,France,20174,2017Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,63
FR,France,20181,2018Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,97
FR,France,20181,2018Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.1
FR,France,20181,2018Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,48
FR,France,20182,2018Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,178
FR,France,20182,2018Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.7
FR,France,20182,2018Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,104
FR,France,20183,2018Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,175
FR,France,20183,2018Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.5
FR,France,20183,2018Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,97
FR,France,20184,2018Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,114
FR,France,20184,2018Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.1
FR,France,20184,2018Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,43
FR,France,20191,2019Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,117
FR,France,20191,2019Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.9
FR,France,20191,2019Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,43
FR,France,20192,2019Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,173
FR,France,20192,2019Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.8
FR,France,20192,2019Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,81
FR,France,20193,2019Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,172
FR,France,20193,2019Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.6
FR,France,20193,2019Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,98
FR,France,20194,2019Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,115
FR,France,20194,2019Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.1
FR,France,20194,2019Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,46
IT,Italy,20121,2012Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,40
IT,Italy,20121,2012Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,5.7
IT,Italy,20121,2012Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,18
IT,Italy,20122,2012Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,68
IT,Italy,20122,2012Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.8
IT,Italy,20122,2012Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,30
IT,Italy,20123,2012Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,94
IT,Italy,20123,2012Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.9
IT,Italy,20123,2012Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,39
IT,Italy,20124,2012Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,50
IT,Italy,20124,2012Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,12.3
IT,Italy,20124,2012Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,20
IT,Italy,20131,2013Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,39
IT,Italy,20131,2013Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.8
IT,Italy,20131,2013Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,19
IT,Italy,20132,2013Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,63
IT,Italy,20132,2013Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.1
IT,Italy,20132,2013Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,32
IT,Italy,20133,2013Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,83
IT,Italy,20133,2013Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.8
IT,Italy,20133,2013Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,49
IT,Italy,20134,2013Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,49
IT,Italy,20134,2013Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.8
IT,Italy,20134,2013Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,18
IT,Italy,20141,2014Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,44
IT,Italy,20141,2014Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.3
IT,Italy,20141,2014Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,18
IT,Italy,20142,2014Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,62
IT,Italy,20142,2014Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.9
IT,Italy,20142,2014Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,31
IT,Italy,20143,2014Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,98
IT,Italy,20143,2014Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,11.6
IT,Italy,20143,2014Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,60
IT,Italy,20144,2014Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,54
IT,Italy,20144,2014Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9
IT,Italy,20144,2014Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,23
IT,Italy,20151,2015Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,60
IT,Italy,20151,2015Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.6
IT,Italy,20151,2015Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,24
IT,Italy,20152,2015Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,81
IT,Italy,20152,2015Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.9
IT,Italy,20152,2015Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,32
IT,Italy,20153,2015Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,116
IT,Italy,20153,2015Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.7
IT,Italy,20153,2015Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,70
IT,Italy,20154,2015Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,65
IT,Italy,20154,2015Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.5
IT,Italy,20154,2015Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,26
IT,Italy,20161,2016Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,62
IT,Italy,20161,2016Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,5.3
IT,Italy,20161,2016Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,22
IT,Italy,20162,2016Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,96
IT,Italy,20162,2016Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.5
IT,Italy,20162,2016Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,44
IT,Italy,20163,2016Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,129
IT,Italy,20163,2016Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.9
IT,Italy,20163,2016Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,88
IT,Italy,20164,2016Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,58
IT,Italy,20164,2016Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.4
IT,Italy,20164,2016Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,21
IT,Italy,20171,2017Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,60
IT,Italy,20171,2017Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,5.7
IT,Italy,20171,2017Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,23
IT,Italy,20172,2017Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,97
IT,Italy,20172,2017Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.8
IT,Italy,20172,2017Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,55
IT,Italy,20173,2017Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,130
IT,Italy,20173,2017Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9
IT,Italy,20173,2017Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,80
IT,Italy,20174,2017Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,76
IT,Italy,20174,2017Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.6
IT,Italy,20174,2017Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,33
IT,Italy,20181,2018Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,71
IT,Italy,20181,2018Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.9
IT,Italy,20181,2018Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,30
IT,Italy,20182,2018Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,108
IT,Italy,20182,2018Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.8
IT,Italy,20182,2018Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,46
IT,Italy,20183,2018Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,142
IT,Italy,20183,2018Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.3
IT,Italy,20183,2018Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,82
IT,Italy,20184,2018Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,87
IT,Italy,20184,2018Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.3
IT,Italy,20184,2018Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,39
IT,Italy,20191,2019Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,67
IT,Italy,20191,2019Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.4
IT,Italy,20191,2019Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,25
IT,Italy,20192,2019Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,98
IT,Italy,20192,2019Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.6
IT,Italy,20192,2019Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,36
IT,Italy,20193,2019Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,148
IT,Italy,20193,2019Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.5
IT,Italy,20193,2019Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,90
IT,Italy,20194,2019Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,79
IT,Italy,20194,2019Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.3
IT,Italy,20194,2019Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,28
USCA,United States and Canada,20121,2012Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,145
USCA,United States and Canada,20121,2012Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8
USCA,United States and Canada,20121,2012Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,97
USCA,United States and Canada,20122,2012Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,306
USCA,United States and Canada,20122,2012Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.6
USCA,United States and Canada,20122,2012Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,210
USCA,United States and Canada,20123,2012Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,365
USCA,United States and Canada,20123,2012Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.4
USCA,United States and Canada,20123,2012Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,287
USCA,United States and Canada,20124,2012Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,201
USCA,United States and Canada,20124,2012Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.1
USCA,United States and Canada,20124,2012Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,148
USCA,United States and Canada,20131,2013Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,169
USCA,United States and Canada,20131,2013Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.3
USCA,United States and Canada,20131,2013Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,101
USCA,United States and Canada,20132,2013Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,351
USCA,United States and Canada,20132,2013Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.9
USCA,United States and Canada,20132,2013Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,239
USCA,United States and Canada,20133,2013Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,415
USCA,United States and Canada,20133,2013Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.3
USCA,United States and Canada,20133,2013Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,329
USCA,United States and Canada,20134,2013Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,223
USCA,United States and Canada,20134,2013Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.8
USCA,United States and Canada,20134,2013Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,153
USCA,United States and Canada,20141,2014Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,179
USCA,United States and Canada,20141,2014Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.3
USCA,United States and Canada,20141,2014Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,107
USCA,United States and Canada,20142,2014Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,396
USCA,United States and Canada,20142,2014Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7
USCA,United States and Canada,20142,2014Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,267
USCA,United States and Canada,20143,2014Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,490
USCA,United States and Canada,20143,2014Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.9
USCA,United States and Canada,20143,2014Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,389
USCA,United States and Canada,20144,2014Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,264
USCA,United States and Canada,20144,2014Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.3
USCA,United States and Canada,20144,2014Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,172
USCA,United States and Canada,20151,2015Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,191
USCA,United States and Canada,20151,2015Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7
USCA,United States and Canada,20151,2015Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,125
USCA,United States and Canada,20152,2015Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,468
USCA,United States and Canada,20152,2015Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.7
USCA,United States and Canada,20152,2015Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,375
USCA,United States and Canada,20153,2015Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,550
USCA,United States and Canada,20153,2015Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.8
USCA,United States and Canada,20153,2015Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,470
USCA,United States and Canada,20154,2015Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,305
USCA,United States and Canada,20154,2015Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8
USCA,United States and Canada,20154,2015Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,226
USCA,United States and Canada,20161,2016Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,238
USCA,United States and Canada,20161,2016Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.9
USCA,United States and Canada,20161,2016Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,144
USCA,United States and Canada,20162,2016Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,520
USCA,United States and Canada,20162,2016Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.7
USCA,United States and Canada,20162,2016Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,394
USCA,United States and Canada,20163,2016Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,638
USCA,United States and Canada,20163,2016Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.4
USCA,United States and Canada,20163,2016Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,494
USCA,United States and Canada,20164,2016Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,412
USCA,United States and Canada,20164,2016Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.7
USCA,United States and Canada,20164,2016Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,303
USCA,United States and Canada,20171,2017Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,293
USCA,United States and Canada,20171,2017Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6
USCA,United States and Canada,20171,2017Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,152
USCA,United States and Canada,20172,2017Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,629
USCA,United States and Canada,20172,2017Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7
USCA,United States and Canada,20172,2017Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,476
USCA,United States and Canada,20173,2017Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,733
USCA,United States and Canada,20173,2017Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.3
USCA,United States and Canada,20173,2017Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,580
USCA,United States and Canada,20174,2017Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,447
USCA,United States and Canada,20174,2017Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.8
USCA,United States and Canada,20174,2017Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,315
USCA,United States and Canada,20181,2018Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,332
USCA,United States and Canada,20181,2018Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.2
USCA,United States and Canada,20181,2018Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,194
USCA,United States and Canada,20182,2018Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,689
USCA,United States and Canada,20182,2018Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.4
USCA,United States and Canada,20182,2018Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,493
USCA,United States and Canada,20183,2018Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,847
USCA,United States and Canada,20183,2018Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.1
USCA,United States and Canada,20183,2018Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,681
USCA,United States and Canada,20184,2018Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,516
USCA,United States and Canada,20184,2018Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.6
USCA,United States and Canada,20184,2018Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,367
USCA,United States and Canada,20191,2019Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,367
USCA,United States and Canada,20191,2019Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,5.9
USCA,United States and Canada,20191,2019Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,200
USCA,United States and Canada,20192,2019Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,746
USCA,United States and Canada,20192,2019Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.4
USCA,United States and Canada,20192,2019Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,546
USCA,United States and Canada,20193,2019Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,825
USCA,United States and Canada,20193,2019Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.4
USCA,United States and Canada,20193,2019Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,644
USCA,United States and Canada,20194,2019Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,474
USCA,United States and Canada,20194,2019Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,6.9
USCA,United States and Canada,20194,2019Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,301
XB,"Great Britain (includes England, Scotland, Wales)",20121,2012Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,562
XB,"Great Britain (includes England, Scotland, Wales)",20121,2012Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.3
XB,"Great Britain (includes England, Scotland, Wales)",20121,2012Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,168
XB,"Great Britain (includes England, Scotland, Wales)",20122,2012Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,735
XB,"Great Britain (includes England, Scotland, Wales)",20122,2012Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.4
XB,"Great Britain (includes England, Scotland, Wales)",20122,2012Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,218
XB,"Great Britain (includes England, Scotland, Wales)",20123,2012Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,830
XB,"Great Britain (includes England, Scotland, Wales)",20123,2012Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,5.3
XB,"Great Britain (includes England, Scotland, Wales)",20123,2012Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,246
XB,"Great Britain (includes England, Scotland, Wales)",20124,2012Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,646
XB,"Great Britain (includes England, Scotland, Wales)",20124,2012Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.4
XB,"Great Britain (includes England, Scotland, Wales)",20124,2012Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,186
XB,"Great Britain (includes England, Scotland, Wales)",20131,2013Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,570
XB,"Great Britain (includes England, Scotland, Wales)",20131,2013Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,4.5
XB,"Great Britain (includes England, Scotland, Wales)",20131,2013Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,176
